,test_cas,smiles,pubchem2d,atom_number,alone_atom_number,bonds_number,doubleBond,tripleBond,ring_number,Mol,MorganDensity,LogP,oh_count,MeltingPoint,WaterSolubility
10,55-21-0,NC(=O)c1ccccc1,10000000011000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000100000000000000000000000000000000110000000000100000011001100000000000001100000000000010000000010000000000000000000000100010000000001000100001010100100001000000000000100000100000000000000000001001000000000000000000000010001000100000000001000000000000010011001000000010000010000000110010100000001001010100010001100000000010000100000000011000001000000000000000000010001000100110000111000110001000100000000000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.32854409992410044,0,0.3834549617825017,1,0,1,0.3641303329935303,1.2222222222222223,0.7855000000000001,0,134.988,0.6200377364544769
11,55-38-9,CO[P](=S)(OC)Oc1ccc(SC)c(C)c1,11000000011100000011000000000010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000100000000000000000000100000000000000000110000000100100000001101100000000010101100100000011110000000000000000000000100011000100000000000001000100000010000100000000000000000000000100000000000000000001000000010100000010000000010001000100000011000000001100000100010001000000010000010011000100010101000000001000100010010100000000011000000000000001001001100000000010001000010001000100000000111100000001100000000010000000011100000000010000000000000010000000000000000000001000000000000000000000000010000000000000010000000000000000000001000000000000000000000000000000000000000000000000000000000000,0.5682879236970824,1,0.509879245788606,1,0,1,0.5637964425728271,1.25,3.6130200000000015,0,9.25432,-0.3953153657239723
12,55-63-0,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,10000000010000110011110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000001000000000000000000000000000000100000010100101000001000000000000010000000000000000000000000000000000100000000000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6570881998482009,6,0.4800586308849718,3,0,0,0.5148742240321004,0.8666666666666667,-1.0200999999999996,0,17.4873,-0.1511617090527808
13,55-86-7,[H+].[Cl-].CN(CCCl)CCCl,11000000011000100000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000010000000000000000000000000000000000000000000000011110000010000000001000100000000100000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.5682879236970824,2,0.33029012623330456,0,0,0,0.4752058725270595,1.2222222222222223,-1.4876999999999996,0,23.8443,0.3860806475099613
14,56-23-5,ClC(Cl)(Cl)Cl,00000000000000000000000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.42463708906849196,0,0.2183098986658494,0,0,0,0.4213624490833282,0.8,2.5529,0,-3.9434199999999997,-0.0471737302745957
15,56-37-1,[Cl-].CC[N+](CC)(CC)Cc1ccccc1,11100000011100100000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001110000000000000000000000000000000000000000000000110000000000110000010001100000000100001100100000000010000011000000000000000000000000100000000000001000100000010000100000000000000000100000100000000000000000001000000000000000000000000010001000100000000000000010000000010010001000000010000010000000100010100000001001000100010001100001000010000000001000011000001000000000000000100010001000100000000111000100001000000000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.5456999379736751,2,0.4800586308849718,0,0,1,0.5156075032430117,0.8666666666666667,0.06710000000000149,0,121.414,-0.6567241303095209
16,56-38-2,CCO[P](=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O,11000000011100100011100000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000001000000000000100000000000000000100000001100101000011001000000000010001100101100011010000000000100000100000100010000100000010000000000100100010000100100001100000000100000100000000000000000001000000010001000000000001010001000100000000000000001100110110010001010000010000010011000100010100000001001000110010011100000000011000000000000011001001100000000010001000010001100100000000111101100000100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6078788182600285,3,0.5363791942059525,2,0,1,0.574717807094452,1.2222222222222223,3.2711000000000023,0,26.1812,-0.8783357675894661
17,56-72-4,CCO[P](=S)(OCC)Oc1ccc2C(=C(Cl)C(=O)Oc2c1)C,11100000011100000011100000000010010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000100000000000000000000000000000000000000000000000000000000000000100000010000000000000000000000000001101000000010000000000000000000100000000000000000110000000110101000001001100000000010001100100000111010000000000000000000010100010000100010000000001000100000110100100000100000000000000000100000100000000000001000000010000000000000000010001000100000000000000001100000100111001000010011000010011100100010100001000011000100011010100000100011101000100000101001011100000000010101000010001010100100000111100000001110000010101100000011100010000000000000000000000000100000000000000010000000000000000000010000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000,0.6714559000758995,1,0.5920388584524271,3,0,2,0.6275428788895622,1.2727272727272727,4.431120000000004,0,87.4306,-1.0212451764836892
18,57-06-7,C=CCN=C=S,10000000011000100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000100000000000000000000000000000000000000100000000000110000010000000000000100000000000000000000000010000000000000000000000000101001000000000000100000010000100000010000000000100000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.4611699480174543,0,0.2617487322191224,3,0,0,0.3162417682229009,2.0,1.2752,0,-60.9272,0.23100935311404736
19,57-14-7,CN(C)N,11000000010000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000110000000000000000000000000000000000000000000000000000000000000000100000000100000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.3814278880116249,0,0.1651450631166523,0,0,0,0.19695237510717367,1.5,-0.5783,0,-35.7872,2.050895752797464
